ncbi_taxon_id,species,family_x,target_list_status,sequencing_status,aphia_id,url,scientificname,authority,status,rank,valid_aphia_id,valid_name,order,family_y,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,binomial_emma,fb_match_count,example_author,example_subfamily,example_comments,length_median,length_min,length_max,weight_median,weight_min,weight_max,vulnerability_median,vulnerability_min,vulnerability_max
753643,Acanthurus achilles,Acanthuridae,long_list,-,272957,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272957,Acanthurus achilles,"Shaw, 1803",accepted,Species,272957,Acanthurus achilles,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus achilles,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
1962508,Acanthurus albimento,Acanthuridae,long_list,-,1043611,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1043611,Acanthurus albimento,"Carpenter, Williams & Santos, 2017",accepted,Species,1043611,Acanthurus albimento,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus albimento,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
1917454,Acanthurus albipectoralis,Acanthuridae,long_list,-,272958,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272958,Acanthurus albipectoralis,"Allen & Ayling, 1987",accepted,Species,272958,Acanthurus albipectoralis,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus albipectoralis,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
1316011,Acanthurus auranticavus,Acanthuridae,long_list,-,219633,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219633,Acanthurus auranticavus,"Randall, 1956",accepted,Species,219633,Acanthurus auranticavus,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus auranticavus,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
157584,Acanthurus bahianus,Acanthuridae,long_list,-,159578,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159578,Acanthurus bahianus,"Castelnau, 1855",accepted,Species,159578,Acanthurus bahianus,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus bahianus,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
670521,Acanthurus bariene,Acanthuridae,long_list,-,219637,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219637,Acanthurus bariene,"Lesson, 1831",accepted,Species,219637,Acanthurus bariene,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus bariene,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
238050,Acanthurus blochii,Acanthuridae,long_list,-,219639,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219639,Acanthurus blochii,"Valenciennes, 1835",accepted,Species,219639,Acanthurus blochii,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus blochii,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
51758,Acanthurus chirurgus,Acanthuridae,long_list,-,159580,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159580,Acanthurus chirurgus,"(Bloch, 1787)",accepted,Species,159580,Acanthurus chirurgus,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus chirurgus,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
1920672,Acanthurus chronixis,Acanthuridae,long_list,-,272959,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272959,Acanthurus chronixis,"Randall, 1960",accepted,Species,272959,Acanthurus chronixis,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus chronixis,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
157585,Acanthurus coeruleus,Acanthuridae,long_list,-,159581,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159581,Acanthurus coeruleus,"Bloch & Schneider, 1801",accepted,Species,159581,Acanthurus coeruleus,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus coeruleus,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
238051,Acanthurus dussumieri,Acanthuridae,long_list,-,219641,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219641,Acanthurus dussumieri,"Valenciennes, 1835",accepted,Species,219641,Acanthurus dussumieri,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus dussumieri,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
1484166,Acanthurus gahhm,Acanthuridae,long_list,-,219636,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219636,Acanthurus gahhm,"(Forsskål, 1775)",accepted,Species,219636,Acanthurus gahhm,Acanthuriformes,Acanthuridae,Acanthurus,1,0,0,0,NA,Acanthurus gahhm,40,"Shaw, 1803",Acanthurinae,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",35.29999923706055,11,70,1966.5,620,5100,23.5,10,58.55
