ncbi_taxon_id_left,aphia_id_left,species_canonical,synonyms,subspecies_left,target_list_status_left,sequencing_status_left,status_left,publication_id_left,rank_left,isMarine_left,isBrackish_left,isFreshwater_left,isTerrestrial_left,isExtinct_left,modified_left,spec_code,order_left,family_x_left,Genus,authority_left,FBname,DemersPelag,Subfamily,depth_min_in_m,depth_max_in_m,common_depth_min,common_depth_max,length_max_in_cm,common_length_in_cm,weight_max_in_g,TempMin,TempMax,__norm_name_left,__aphia,__ncbi_left,ncbi_taxon_id_right,species,subspecies_right,family_x_right,target_list_status_right,sequencing_status_right,synonym,publication_id_right,aphia_id_right,url,scientificname,authority_right,status_right,rank_right,valid_AphiaID,valid_name,order_right,family_y,genus,isMarine_right,isBrackish_right,isFreshwater_right,isTerrestrial_right,isExtinct_right,modified_right,aphia_id_effective,__norm_name_right,__ncbi_right,__source_index,__match_type
7769,101170,Myxine glutinosa,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,2513.0,Myxiniformes,Myxinidae,Myxine,"Linnaeus, 1758",Atlantic hagfish,bathydemersal,Myxininae,20.0,1200.0,27.0,460.0,95.0,30.0,,1.5,13.0,myxine glutinosa,101170,7769,7769,Myxine glutinosa,-,Myxinidae,long_list,-,-,-,101170.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101170,Myxine glutinosa,"Linnaeus, 1758",accepted,Species,101170.0,Myxine glutinosa,Myxiniformes,Myxinidae,Myxine,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,101170.0,myxine glutinosa,7769,19708,aphia
7748,101172,Lampetra fluviatilis,[],-,long_list,-,accepted,-,Species,1.0,1.0,1.0,0.0,,2017-08-09 06:21:34,4480.0,Petromyzontiformes,Petromyzontidae,Lampetra,"(Linnaeus, 1758)",River lamprey,demersal,Lampetrinae,10.0,,,,50.0,35.0,150.0,5.0,18.0,lampetra fluviatilis,101172,7748,7748,Lampetra fluviatilis,-,Petromyzontidae,long_list,-,-,-,101172.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101172,Lampetra fluviatilis,"(Linnaeus, 1758)",accepted,Species,101172.0,Lampetra fluviatilis,Petromyzontiformes,Petromyzontidae,Lampetra,1.0,1.0,1.0,0.0,,2017-08-09T06:21:34.107Z,101172.0,lampetra fluviatilis,7748,19812,aphia
980415,101173,Lethenteron camtschaticum,[],-,long_list,-,accepted,-,Species,1.0,1.0,1.0,0.0,,2010-05-06 09:57:44,2524.0,Petromyzontiformes,Petromyzontidae,Lethenteron,"(Tilesius, 1811)",Arctic lamprey,demersal,Lampetrinae,0.0,50.0,,,63.0,16.0499992370605,200.0,5.0,18.0,lethenteron camtschaticum,101173,980415,980415,Lethenteron camtschaticum,-,Petromyzontidae,long_list,-,-,-,101173.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101173,Lethenteron camtschaticum,"(Tilesius, 1811)",accepted,Species,101173.0,Lethenteron camtschaticum,Petromyzontiformes,Petromyzontidae,Lethenteron,1.0,1.0,1.0,0.0,,2010-05-06T09:57:44.313Z,101173.0,lethenteron camtschaticum,980415,19814,aphia
7757,101174,Petromyzon marinus,[],-,long_list,-,accepted,-,Species,1.0,1.0,1.0,0.0,,2008-01-15 17:27:08,2530.0,Petromyzontiformes,Petromyzontidae,Petromyzon,"Linnaeus, 1758",Sea lamprey,demersal,Petromyzontinae,1.0,4099.0,,,120.0,60.0,2500.0,0.6,20.0,petromyzon marinus,101174,7757,7757,Petromyzon marinus,-,Petromyzontidae,long_list,-,-,-,101174.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101174,Petromyzon marinus,"Linnaeus, 1758",accepted,Species,101174.0,Petromyzon marinus,Petromyzontiformes,Petromyzontidae,Petromyzon,1.0,1.0,1.0,0.0,,2008-01-15T17:27:08.177Z,101174.0,petromyzon marinus,7757,19815,aphia
303933,105787,Carcharhinus altimus,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,859.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Springer, 1950)",Bignose shark,reef-associated,,12.0,810.0,80.0,220.0,300.0,250.0,167800.0,,,carcharhinus altimus,105787,303933,303933,Carcharhinus altimus,-,Carcharhinidae,long_list,-,-,-,105787.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105787,Carcharhinus altimus,"(Springer, 1950)",accepted,Species,105787.0,Carcharhinus altimus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105787.0,carcharhinus altimus,303933,18689,aphia
263685,105788,Carcharhinus brevipinna,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,865.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Müller & Henle, 1839)",Spinner shark,reef-associated,,0.0,100.0,0.0,,300.0,250.0,89700.0,,,carcharhinus brevipinna,105788,263685,263685,Carcharhinus brevipinna,-,Carcharhinidae,long_list,-,-,-,105788.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105788,Carcharhinus brevipinna,"(Müller & Henle, 1839)",accepted,Species,105788.0,Carcharhinus brevipinna,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105788.0,carcharhinus brevipinna,263685,18695,aphia
202609,105789,Carcharhinus falciformis,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,868.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Müller & Henle, 1839)",Silky shark,reef-associated,,0.0,4000.0,0.0,500.0,350.0,250.0,346000.0,,,carcharhinus falciformis,105789,202609,202609,Carcharhinus falciformis,-,Carcharhinidae,long_list,-,-,-,105789.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105789,Carcharhinus falciformis,"(Müller & Henle, 1839)",accepted,Species,105789.0,Carcharhinus falciformis,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105789.0,carcharhinus falciformis,202609,18700,aphia
671159,105790,Carcharhinus galapagensis,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,870.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Snodgrass & Heller, 1905)",Galapagos shark,reef-associated,,1.0,286.0,30.0,180.0,370.0,300.0,85450.0,,,carcharhinus galapagensis,105790,671159,671159,Carcharhinus galapagensis,-,Carcharhinidae,long_list,-,-,-,105790.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105790,Carcharhinus galapagensis,"(Snodgrass & Heller, 1905)",accepted,Species,105790.0,Carcharhinus galapagensis,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105790.0,carcharhinus galapagensis,671159,18702,aphia
303934,105791,Carcharhinus isodon,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2024-06-19 06:58:31,872.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Valenciennes, 1839)",Finetooth shark,demersal,,0.0,20.0,,,200.0,,,,,carcharhinus isodon,105791,303934,303934,Carcharhinus isodon,-,Carcharhinidae,long_list,-,-,-,105791.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105791,Carcharhinus isodon,"(Valenciennes, 1839)",accepted,Species,105791.0,Carcharhinus isodon,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2024-06-19T06:58:31.960Z,105791.0,carcharhinus isodon,303934,18704,aphia
46612,105792,Carcharhinus leucas,[],-,long_list,data_generation,accepted,-,Species,1.0,1.0,1.0,0.0,,2024-06-19 06:58:31,873.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Valenciennes, 1839)",Bull shark,reef-associated,,1.0,164.0,1.0,30.0,360.0,260.0,316500.0,,,carcharhinus leucas,105792,46612,46612,Carcharhinus leucas,-,Carcharhinidae,long_list,data_generation,-,-,105792.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105792,Carcharhinus leucas,"(Valenciennes, 1839)",accepted,Species,105792.0,Carcharhinus leucas,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,1.0,1.0,0.0,,2024-06-19T06:58:31.960Z,105792.0,carcharhinus leucas,46612,18706,aphia
